エリア,カテゴリ,項目,主なフィールド/定義,型,必須,MVP優先度,備考
プロフィール,入力,選手プロフィール基本,"氏名, 生年月日, 性別, 身長, 体重, 利き足/利き手, 第1/第2ポジション, 背番号, 学年/カテゴリ, 所属チーム/学校","text, enum, number, date",必須,MUST,将来の“パスポート”表示項目のベース
プロフィール,入力,経歴/所属履歴,"ユース/学校/クラブ履歴, 期間, 実績, 受賞歴","text, date",任意,SHOULD,
プロフィール,入力,連絡・保護者同意,"連絡先, 保護者氏名, 同意取得状況(署名/日時)","text, boolean, datetime",条件付き,MUST,年少者アカウント時は必須
スタッツ/動画,入力,セッション基本,"種別(試合/練習/自主練), 日付, 開始/終了, 会場, 天候/気温, フォーメーション, 対戦相手(試合), 出場開始/終了分, 途中交代, 試合結果","enum, datetime, number, text",必須,MUST,シーズン/大会ID紐付け
スタッツ/動画,入力,ポジション履歴,"時間帯ごとのポジション(例: 0-30分 LWG, 30-90分 CM)",array(enum+range),任意,SHOULD,
スタッツ/動画,入力,イベントタグ(共通),"時刻, 種別, 結果, 起点/終点座標, 局面(自陣/中盤/敵陣), 関連選手ID, プレッシャー有無","timecode, enum, boolean, number(x,y)",任意,SHOULD,xG/xA算出・ヒートマップに使用
スタッツ/動画,入力,イベントタグ(攻撃),"パス方向/距離/ライン間, 進行判定, クロス, シュート部位(利き/非利き/頭), 枠内/ブロック, アシスト種別","enum, number, boolean",任意,SHOULD,
スタッツ/動画,入力,イベントタグ(守備),"プレス, タックル, インターセプト, ブロック, 被突破, クリア, ボールリカバリー","enum, boolean",任意,SHOULD,
スタッツ/動画,入力,セットプレー詳細,"CK/PK/FK種別, 配置テンプレ, キッカー, 事前サイン","enum, text",任意,NICE,
スタッツ/動画,入力,動画メタ/クリップ,"フル映像URL, サービスID(Veo/Hudl等), クリップstart-end, 解像度, FPS, カメラ角度","url, timecode, number",必須(クリップ任意),MUST,ハイライト自動生成の材料
スタッツ/動画,入力,練習ドリル,"ドリル名, 目的, レップ/セット, 強度, 成功基準, 参考動画","text, number, url",任意,SHOULD,
ノート/カレンダー,入力,課題・タスク,"タイトル, 期限, 優先度, 見積時間, ひも付け(試合/動画/ドリル/栄養/睡眠)","text, datetime, enum, number, relation",必須,MUST,ホームの“次アクション”に反映
ノート/カレンダー,入力,振り返りテンプレ,目標→実行→結果→気づき→次アクション(5行),richtext,任意,MUST,
ノート/カレンダー,入力,主観指標/ウェルビーイング,"疲労, 筋肉痛, 気分, ストレス, 睡眠主観(各1-10)",number(1-10),任意,MUST,sRPEとの併用でリスク推定
ノート/カレンダー,入力,RPE/セッション時間(sRPE),"RPE(0-10), セッション時間(分)",number,必須(練習/試合後),MUST,内部負荷算出
ライフログ,入力,睡眠,"就床/起床, 総睡眠時間, 中途覚醒, 睡眠効率, HRV, RHR, ウェアラブルスコア","datetime, number",任意(連携推奨),MUST,
ライフログ,入力,体組成,"体重, 体脂肪, 筋量, 水分, 推定BMR, 測定デバイス","number, enum",任意,MUST,
ライフログ,入力,栄養/食事,"食事写真, 食事時間, PFC, 炭水化物のタイミング(前後), 補食, サプリ摂取","image, datetime, number",任意,SHOULD,当日/前日のトレーニングに紐付け
ライフログ,入力,水分/発汗,"練習前後体重差, 摂水量, 環境条件(気温/湿度), 塩分補給","number, enum",任意,NICE,
ライフログ,入力,体調/イベント,"風邪/胃腸, 睡眠不足, 月経(必要時), アレルギー, 服薬","enum, text",条件付き,SHOULD,
メディカル,入力,既往歴/ケガ履歴,"部位, 傷害種, 発生日, 重症度, 治療, 復帰基準/ステージ","enum, date, text",任意(発生時必須),MUST,
メディカル,入力,スクリーニング,"可動域, 筋力(徒手/等速), 左右差, 簡易FMS",number,任意,NICE,
メディカル,入力,リハ計画,"フェーズ, 許可動作, 負荷上限, HEP(ホームエクササイズ)動画","enum, text, url",条件付き,SHOULD,
AIバディ,入力,個別制約/嗜好,"週あたり練習可能時間, 器具の有無, 予算, 食の嗜好/アレルギー, 禁止動作","number, enum, text",必須,MUST,
AIバディ,入力,根拠データ参照権限,どのデータを根拠に使うか(動画/イベント/睡眠/栄養/メディカル),"relation, permission",必須,MUST,説明可能性の担保
AIバディ,入力,説明レベル/出力形式,"根拠リンク必須/要約のみ/箇条書き, 文字数, 口調",enum,任意,SHOULD,
サポート/パスポート,入力,公開プロフィール,"強み/特徴タグ, ベスト映像プレイリスト, 今季ハイライト, 推薦文(コーチ)","tag, url, text",任意,MUST,
サポート/パスポート,入力,共有スコープ,"閲覧期限, ダウンロード可否, 相手別マスク設定(スカウト/学校/スポンサー)","datetime, boolean, enum",任意,SHOULD,
サポート/パスポート,入力,データ署名/ハッシュ,"スナップショット署名, タイムスタンプ, 改ざん検知","hash, datetime",任意,NICE,ブロックチェーンPoC
法務/プライバシー,入力,同意/年齢確認,"年少者同意, データ最小化設定, 削除リクエスト受付","boolean, enum, workflow",条件付き,MUST,
運用/品質,入力,欠損/信頼度タグ,"未計測/機器不調/休養日, セルフレポート信頼度","enum, number",任意,SHOULD,
